score,comments,crossposts,time_in_minutes
32170,905,1,1230
31544,444,0,1140
77719,2119,11,720
71374,819,26,60
68447,1247,14,1380
68110,934,38,720
62392,400,7,30
60173,462,11,240
58877,720,12,1230
57937,1922,12,0
57417,1188,2,780
55901,621,19,750
9970,1028,0,330
7494,141,12,690
7241,142,2,780
7105,148,3,810
7001,183,8,630
6811,46,2,990
6295,151,8,690
6068,52,1,1110
5878,158,1,690
5713,125,1,1020
40309,1647,2,780
38469,1731,5,270
32628,1688,0,990
32319,2299,3,810
32052,1003,7,660
29672,1166,0,780
28398,2131,9,960
27877,756,1,750
23836,883,0,1290
23185,1461,20,810
85842,1168,1,180
83333,2045,4,1110
65031,1686,1,1110
60748,1232,2,1290
56922,569,3,990
52858,2020,2,1050
51698,879,10,630
51199,1594,0,1380
45403,1008,1,1380
43955,882,4,240
117366,4789,242,990
101046,4259,82,540
98372,3289,176,1320
93893,5885,22,1020
88991,8045,157,1080
88440,2202,138,1110
86249,2590,41,480
79475,5396,303,1230
78444,3481,66,1110
74664,4009,2,1170
67861,6148,27,1080
55230,11292,4,720
44186,6977,4,990
42191,2431,10,960
38175,7043,3,810
37594,800,6,1080
30370,2370,1,1050
30270,2440,2,810
30019,5040,3,1380
89427,3359,5,780
49471,920,3,1230
49456,1533,0,150
47315,916,0,1020
46659,1296,1,1050
46623,943,7,1080
42962,950,4,540
40630,1954,0,1110
40625,911,0,750
39650,2236,12,930
49438,480,0,60
25155,875,2,870
17332,175,7,1410
11969,176,1,0
11251,126,6,1200
11152,233,7,60
10507,135,1,840
9484,452,48,600
9329,383,2,690
9151,110,12,540
28541,5719,12,630
23291,3513,13,780
11582,1843,4,30
11243,1220,0,780
7187,1421,4,1200
6010,424,0,60
5755,1025,2,420
5623,1368,0,1230
5423,1214,2,1350
4922,459,2,810
132278,6126,34,60
122136,5212,17,1380
121282,2615,6,1200
117933,6176,27,1320
93339,5458,4,750
93147,3320,5,930
91093,3395,14,1320
90681,2744,3,1290
88842,4418,2,1290
88778,14489,2,30
110978,7972,16,1290
69083,9913,2,1020
60257,5249,25,1140
49052,6835,7,1350
47734,1300,38,1350
46907,4721,23,660
45727,10349,4,1290
44230,1244,7,1110
40124,1051,7,1290
36689,4350,4,1380
142728,1685,8,120
136353,1609,2,1230
106417,1358,1,1080
98261,765,6,840
94940,1379,1,990
94423,1554,0,1110
93236,641,4,1110
90288,3629,0,210
86600,1140,0,930
53411,1002,2,720
27487,255,12,90
26994,364,7,240
16593,379,3,720
12213,936,0,1050
12120,243,0,1350
11535,285,1,750
10208,138,0,390
9466,17,0,90
8898,65,4,450
109664,834,47,870
101278,2608,24,870
92587,1325,10,630
92048,1915,21,1260
91809,1396,28,660
91121,1522,34,1020
87451,1290,4,1260
84997,1177,54,1170
84182,856,20,1050
82924,819,4,840
65516,3259,2,870
62921,2486,0,1050
61379,2659,1,960
58189,1649,7,300
51618,1907,14,960
49843,1355,1,870
48509,3539,1,1020
48068,1204,16,900
47710,2308,0,990
47207,1744,0,1200
25133,3952,1,780
23734,10607,4,990
20691,993,5,690
19761,24536,11,600
19494,4120,1,960
19367,691,0,630
19274,2130,0,900
17772,738,0,1200
17244,1647,0,330
16437,851,1,1050
22630,269,0,0
22549,285,0,780
16922,792,6,1290
7822,273,0,1380
6890,203,0,1290
6637,232,0,0
6512,56,0,180
6230,201,0,90
5827,355,0,1260
5804,271,0,990
7415,236,6,1020
5753,205,10,270
5286,143,7,1170
5206,387,0,810
5124,136,16,1260
4834,147,1,840
4640,61,5,480
3681,68,0,840
3597,148,1,1170
3528,101,1,990
29477,804,1,930
16962,674,1,930
15254,134,0,450
13295,601,0,600
12634,2549,0,540
10962,817,0,780
10818,460,7,270
10655,654,1,1170
8984,278,1,540
8664,521,5,120
211517,5014,29,1260
199464,2132,5,930
173869,3930,107,0
161350,1739,46,1410
148676,2410,74,780
134289,3582,6,0
132833,6169,40,780
123070,6894,1,1260
116435,5352,70,1110
110595,2916,23,660
12787,336,5,420
8549,651,1,150
8423,177,3,630
8269,439,1,180
7300,1561,0,300
7099,1018,1,450
6556,140,11,360
6321,1261,3,240
6302,276,1,840
73719,1298,28,510
64737,831,23,0
64132,4839,50,600
59118,2115,21,480
54801,5428,1,1380
52453,1796,14,1410
51460,785,14,420
44791,1115,21,120
43660,2628,3,1380
43435,720,5,150
28397,175,0,1170
20075,554,1,870
14504,95,0,30
13075,408,2,870
11649,125,0,1290
11022,200,3,840
10839,190,0,1410
9910,240,0,720
8722,465,1,1380
7558,84,0,0
52966,1752,9,1410
50103,1204,0,1410
39012,1498,0,1050
27349,839,3,150
24472,735,1,780
23086,788,5,1320
22277,390,0,1350
19923,285,2,720
19849,496,24,810
17876,662,1,570
57378,3102,0,1350
57113,8746,35,360
36974,5849,6,630
30550,5331,0,1110
28549,8813,0,930
16819,1642,0,570
15870,951,13,1260
12270,673,0,660
9289,2945,0,1290
9186,745,0,330
11692,553,4,900
7846,137,5,1320
7698,677,16,1260
6837,220,4,900
6834,294,2,1080
6605,244,5,870
6495,158,3,750
6486,283,31,1080
6489,339,0,1050
6383,399,1,630
10730,1762,0,720
10254,2156,0,840
9531,5952,9,930
9014,931,6,1260
8643,588,0,1140
8132,169,0,1140
7755,5481,1,0
7704,1161,1,630
7306,940,0,810
7186,738,0,750
12697,756,0,690
3590,341,2,780
2393,126,0,810
2093,75,0,750
2013,162,1,30
1972,118,2,780
1870,71,2,630
1746,49,3,180
1731,152,0,690
1662,159,0,900
103640,5898,53,300
63094,4249,10,1410
27213,1474,0,1170
25664,1340,49,1260
21912,1071,3,90
18241,2143,3,780
17973,794,14,630
15037,842,0,1290
12099,1183,4,930
11943,305,0,240
11572,360,2,1230
10707,148,0,780
8034,246,2,1350
6714,74,3,780
5682,122,1,1230
5562,365,2,570
4821,158,2,960
4536,193,4,960
4155,214,4,1050
3910,153,2,360
81995,1252,9,540
61170,980,6,720
34523,2009,2,870
31942,2595,2,330
28943,1319,0,1230
27701,1115,2,480
27662,765,3,600
26357,577,10,600
26228,2050,9,540
23399,719,3,780
49337,1540,3,180
47644,1056,2,870
46627,605,17,240
45444,1060,2,1080
35680,1354,1,1230
31587,813,2,210
30045,642,5,870
28634,1632,0,90
26749,363,0,120
26342,376,5,300
24022,1623,3,1200
21351,1758,9,1140
19330,1169,0,990
18496,629,1,0
16344,647,0,750
16134,2083,0,990
15997,766,0,990
15893,1174,0,900
14136,462,4,270
13568,473,1,1350
51684,4124,2,1110
41402,930,0,1320
35201,1342,4,1320
16880,868,6,840
16514,273,0,780
15591,122,1,1110
15457,305,0,1350
15360,1327,3,1380
14115,505,24,30
12935,285,0,1380
25487,3321,0,570
19636,1828,0,300
17543,3351,0,450
16248,498,0,540
16019,1893,0,480
14930,746,0,480
13571,306,0,900
10779,819,7,630
9873,828,0,600
9622,838,0,540
13748,1108,1,1140
8521,792,1,780
7469,236,0,1380
5823,335,6,780
4342,142,0,930
3794,284,1,900
3646,219,0,810
3558,157,1,600
3564,146,11,1050
3423,211,2,630
13019,3044,0,1200
10477,1792,4,1320
9850,237,2,1260
8341,134,0,720
7467,213,0,990
7042,1972,0,120
6821,207,0,1020
6639,389,0,1020
6537,371,0,930
6189,165,2,1200
7075,470,4,660
3287,77,0,690
3907,380,1,840
3901,241,2,390
3570,152,4,1230
2800,57,5,750
2668,18,3,0
2652,265,0,570
24897,186,0,480
18711,509,1,660
13649,491,2,1320
12789,55,0,810
11698,110,0,90
11251,159,0,900
10643,185,0,900
10578,262,0,90
10155,273,0,870
10029,517,0,1170
19652,377,2,870
9765,271,2,750
9151,382,0,660
8327,271,3,960
7246,203,8,840
7234,207,5,1380
7167,205,5,990
7006,106,6,510
6929,109,2,780
6554,48,0,870
4842,365,6,60
4663,135,10,840
4240,407,12,1380
4190,355,1,270
4099,528,30,360
4017,142,0,1410
3981,635,1,960
3973,73,2,1080
3962,259,0,900
3723,208,0,810
50016,1669,8,780
49355,2414,14,630
44582,3237,3,720
40676,2645,1,1050
38597,6161,2,180
37977,2001,5,780
37956,1514,22,1080
37583,1742,2,1170
36566,1098,2,840
36528,2986,10,930
11645,286,0,1080
7652,632,3,1170
5969,513,2,870
4391,713,3,150
3993,353,1,900
2714,349,1,1080
2488,280,1,840
2395,566,0,390
2270,183,2,1410
1951,77,3,1080
44980,238,0,210
7112,119,2,810
6098,167,0,1290
5784,438,0,1260
5556,178,0,0
4696,156,0,660
4493,288,0,1140
4428,364,0,1140
3399,167,0,1080
3372,309,0,840
95132,1332,5,1140
42106,491,0,1050
40251,855,6,900
40141,739,2,780
40056,385,35,990
39784,981,3,780
34777,415,3,870
34636,549,0,30
34269,434,4,630
34043,833,3,690
10415,898,2,150
10328,350,1,210
9580,120,5,30
8383,525,3,870
8219,566,1,330
8102,437,1,780
7146,1504,1,1020
7033,623,1,1050
6382,484,4,600
6267,162,0,1380
3263,101,2,810
2977,225,1,840
1816,203,0,1020
1769,190,0,870
1622,268,0,810
1383,98,0,1110
1333,61,0,840
1236,48,1,930
1190,105,0,1380
1166,246,2,450
26879,5496,5,810
13792,1021,1,630
10607,1927,5,810
10504,706,3,840
9304,717,7,1230
9162,761,7,150
8142,1153,2,330
8053,2467,3,810
8011,533,0,900
7854,496,0,1170
1217,40,6,930
1852,164,1,1080
1608,62,3,960
1553,88,1,660
1518,58,1,1020
1327,36,5,1020
1267,84,6,930
1232,82,1,1110
1208,68,0,1230
30064,449,4,240
16418,476,4,1230
16119,97,0,930
15453,443,2,1260
15443,512,5,780
14147,164,2,510
13286,513,12,210
12925,362,17,300
12555,821,0,930
10205,436,0,90
52020,3130,4,1080
51906,1569,109,1020
40727,1037,15,240
38372,4401,5,810
36819,556,15,90
34482,2505,1,990
33811,4869,6,990
32893,8227,8,210
32335,8502,0,1260
32154,10678,0,30
38753,1143,4,660
20955,948,10,330
19379,1132,1,480
17509,1312,0,930
13486,513,2,510
13111,401,1,660
11447,651,7,480
11435,499,2,690
11322,974,3,570
9285,968,5,390
30450,2133,0,1050
28551,1033,3,990
27862,1985,1,1080
26609,1194,0,660
23961,611,7,870
23557,1050,0,810
20076,1378,0,930
17742,1208,1,630
16809,676,1,660
16708,764,0,1080
75925,418,2,1200
50912,1197,1,870
44916,927,1,1080
44231,962,2,1140
32383,361,9,1020
31360,746,3,1050
27946,1007,0,1170
26153,289,5,30
24348,343,3,1230
23797,447,3,1140
44886,3731,5,1350
39485,2484,0,1110
27825,750,0,120
25157,2017,6,900
24965,1444,0,900
23939,2103,1,600
21749,3409,0,300
18301,2457,4,1050
17681,1621,2,750
17657,2151,0,1170
16813,282,3,810
10551,737,0,690
10257,401,23,1020
9370,566,0,750
7992,248,0,1020
7987,271,6,240
7782,236,0,600
7215,135,0,810
6901,474,1,1170
6830,230,7,0
123351,1486,1,270
67787,2935,6,780
62581,3783,14,960
57230,3118,4,240
55099,2898,1,1410
51824,7575,22,120
50847,3587,4,660
49597,3688,26,810
47735,1165,2,1290
46118,731,12,1140
42910,418,1,930
38438,814,7,120
37701,472,4,300
35691,560,5,840
33942,614,26,1350
32995,365,7,1050
32967,373,5,900
32214,650,3,1410
41282,644,0,30
27358,2137,1,150
23889,978,19,1260
23414,1420,6,210
23162,1530,2,180
19946,980,2,1290
19404,2159,4,1380
17487,1236,1,60
17441,1499,2,30
17320,4919,5,540
1115,97,2,930
845,58,1,810
813,65,2,780
747,49,5,1080
743,98,0,870
714,6,0,150
658,53,2,1110
615,74,0,1200
530,123,4,1200
478,181,1,330
4362,83,19,180
3751,54,1,420
2662,115,9,960
2291,80,0,510
2053,40,1,840
1787,27,0,660
1767,56,0,1380
1742,88,0,510
1674,36,0,630
1593,63,0,960
9465,298,1,450
7815,390,0,210
6814,505,0,390
6427,297,0,1140
6205,609,0,1110
5909,245,3,1320
5633,255,5,750
5624,599,0,990
5549,259,2,60
5394,202,1,930
15384,139,2,1290
9631,127,3,330
9554,359,0,720
7748,61,0,1200
6834,89,0,690
6272,155,0,270
6167,79,0,1020
5995,147,9,600
5701,70,0,210
5586,204,0,1140
12252,3966,8,840
7260,686,15,1140
5875,464,4,870
5275,1000,3,1020
5024,262,5,1350
4592,489,2,1350
4183,453,0,630
3963,219,2,180
3578,1263,0,1380
3384,445,1,1230
3313,155,0,960
3216,133,0,660
3078,111,4,660
2769,143,7,990
2591,145,0,840
2591,120,2,900
2152,60,1,1200
1986,105,0,210
1963,190,0,930
1944,75,1,780
34383,9795,1,840
34272,2248,4,1350
33086,950,0,960
30662,1536,11,1140
29585,438,8,810
27640,434,1,1050
25385,888,4,870
24159,825,1,960
24001,2566,4,1050
23294,704,1,810
33334,1664,0,1080
27565,1889,2,1080
25372,588,0,810
22776,435,0,900
22670,111,14,750
20976,458,1,840
20969,554,0,1050
18025,254,0,1110
16049,368,1,150
15936,594,8,870
66643,973,30,900
29372,650,0,1290
20869,454,0,1110
12407,739,5,990
11704,168,6,180
11205,160,1,240
10604,238,2,840
9549,153,11,240
9474,249,2,1110
8783,394,9,900
2425,174,0,1020
2259,73,0,960
2178,266,0,990
1754,403,1,600
1647,290,0,750
1276,63,0,330
1248,97,1,1290
1144,55,2,480
1109,147,0,1410
1096,169,2,960
10742,111,1,750
8368,329,0,150
5800,152,1,840
5285,305,4,780
5168,399,0,0
4857,207,0,1080
4360,90,0,780
4237,237,0,690
4112,163,0,1170
3556,211,0,570
28733,2420,2,1290
28633,976,11,1230
21237,191,0,180
19008,1354,3,1350
16922,948,0,930
16409,502,0,570
14305,3466,0,660
14027,377,1,1290
13688,459,0,780
13216,1811,0,960
9317,77,2,930
6040,200,2,870
5212,255,0,1110
4941,94,1,1020
4834,126,0,30
4552,321,0,420
4460,131,0,0
4439,75,2,660
4160,112,1,840
3600,100,0,870
46981,2231,16,480
34890,2463,4,90
33788,8794,9,1200
25599,719,5,570
